항목,지역,연도,환자수,단위
감기,경기,2022-01,453445,명
감기,경기,2022-02,617878,명
감기,경기,2022-03,1031321,명
감기,경기,2022-04,721063,명
감기,경기,2022-05,554100,명
감기,경기,2022-06,488481,명
감기,경기,2022-07,613738,명
감기,경기,2022-08,625275,명
감기,경기,2022-09,662583,명
감기,경기,2022-10,757211,명
감기,경기,2022-11,845916,명
감기,경기,2022-12,992627,명
감기,경기,2023-01,749221,명
감기,경기,2023-02,640078,명
감기,경기,2023-03,915408,명
감기,경기,2023-04,1074125,명
감기,경기,2023-05,993465,명
감기,경기,2023-06,771200,명
감기,경기,2023-07,847158,명
감기,경기,2023-08,744992,명
감기,경기,2023-09,876501,명
감기,경기,2023-10,1058577,명
감기,경기,2023-11,1194430,명
감기,경기,2023-12,1288755,명
감기,경기,2024-01,1066751,명
감기,경기,2024-02,819772,명
감기,경기,2024-03,982060,명
감기,경기,2024-04,961570,명
감기,경기,2024-05,887001,명
감기,경기,2024-06,720787,명
감기,강원,2021-06,41015,명
감기,강원,2021-07,31233,명
감기,강원,2021-08,31084,명
감기,강원,2021-09,42771,명
감기,강원,2021-10,53484,명
감기,강원,2021-11,67992,명
감기,강원,2021-12,53256,명
감기,강원,2022-01,46377,명
감기,강원,2022-02,58450,명
감기,강원,2022-03,103160,명
감기,강원,2022-04,77457,명
감기,강원,2022-05,60353,명
감기,강원,2022-06,47215,명
감기,강원,2022-07,57678,명
감기,강원,2022-08,68048,명
감기,강원,2022-09,65944,명
감기,강원,2022-10,75875,명
감기,강원,2022-11,89816,명
감기,강원,2022-12,105210,명
감기,강원,2023-01,84407,명
감기,강원,2023-02,69680,명
감기,강원,2023-03,93797,명
감기,강원,2023-04,105095,명
감기,강원,2023-05,101197,명
감기,강원,2023-06,73418,명
감기,강원,2023-07,81077,명
감기,강원,2023-08,76075,명
감기,강원,2023-09,79875,명
감기,강원,2023-10,102048,명
감기,강원,2023-11,117198,명
감기,강원,2023-12,126347,명
감기,강원,2024-01,108120,명
감기,강원,2024-02,83096,명
감기,강원,2024-03,96448,명
감기,강원,2024-04,90097,명
감기,강원,2024-05,83734,명
감기,강원,2024-06,65848,명
감기,충북,2021-06,44054,명
감기,충북,2021-07,34966,명
감기,충북,2021-08,32919,명
감기,충북,2021-09,45844,명
감기,충북,2021-10,56415,명
감기,충북,2021-11,69858,명
감기,충북,2021-12,55863,명
감기,충북,2022-01,51296,명
감기,충북,2022-02,67102,명
감기,충북,2022-03,117668,명
감기,충북,2022-04,80043,명
감기,충북,2022-05,57517,명
감기,충북,2022-06,47598,명
감기,충북,2022-07,55864,명
감기,충북,2022-08,67451,명
감기,충북,2022-09,68692,명
감기,충북,2022-10,74783,명
감기,충북,2022-11,88003,명
감기,충북,2022-12,105640,명
감기,충북,2023-01,83968,명
감기,충북,2023-02,70327,명
감기,충북,2023-03,93864,명
감기,충북,2023-04,104563,명
감기,충북,2023-05,96230,명
감기,충북,2023-06,70174,명
감기,충북,2023-07,78309,명
감기,충북,2023-08,74493,명
감기,충북,2023-09,82826,명
감기,충북,2023-10,101727,명
감기,충북,2023-11,116079,명
감기,충북,2023-12,124172,명
감기,충북,2024-01,106661,명
감기,충북,2024-02,82764,명
감기,충북,2024-03,97074,명
